Management,6.1,http://www.dummies.com/business/management/managing-for-dummies-cheat-sheet
Business and Financial operations,5,http://www.dummies.com/business/start-a-business/
Computer and Mathematical,2.7,http://www.stuycs.org/
Architecture and Engineering,1.7,http://www.dummies.com/education/architecture/architecture-for-dummies-cheat-sheet/
"Life Physical and Social Science",0.9,http://www.dummies.com/education/science/
Community and Social Service,1.6,https://berniesanders.com/stream/
Legal,0.8,http://www.dummies.com/education/law/
"Education training and library",6.1,http://www.dummies.com/store/Education.html
"Arts design entertainment sports and media",1.7,http://www.dummies.com/education/art-appreciation/art-history-for-dummies-cheat-sheet/
Healthcare practioners and technical,5.5,https://www.healthcare.gov/
Healthcare support,2.8,https://www.healthcare.gov/
Protective service,2.3,https://www.facebook.com/martuni.jackson?fref=ts
Food preparation and serving,8.3,http://www.marthastewart.com/1141383/martha-stewart-15000-sweepstakes-paid
Building and grounds cleaning and maintenance,3.7,http://www.dummies.com/home-garden/home-improvement/cleaning-stain-removal/how-to-clean-room-by-room/
Personal care and service,4,https://www.amazon.com/Planning-Long-Term-Dummies-Carol-Levine/dp/1118725751
Sales,10.2,http://www.dummies.com/business/sales/
Office and administrative support,15.1,http://www.dummies.com/business/management/managing-for-dummies-cheat-sheet/
"Farming fishing and forestry",0.6,http://www.dummies.com/home-garden/hobby-farming/
Construction and extraction,4.3,http://www.trump.com/
"Installation maintenance and repair",3.8,https://www.trumpgolf.com/
Production,6.1,https://www.trumpgolf.com/Membership
Transportation and material moving,6.5,http://www.mta.info/